timestamp_iso,timestamp_bkk,category,candidate,rank,vote_percentage
2026-09-09T14:12:38.520325+07:00,2026-09-09 14:12:38,best-series,เขมจิราต้องรอด,4,1.3
2026-09-09T14:12:38.520325+07:00,2026-09-09 14:12:38,best-series,สิงสาลาตาย Goddess bless you from death,5,0.7
2026-09-09T15:12:35.232790+07:00,2026-09-09 15:12:35,best-actress,ซอนญ่า ศรัณย์ภัทร์ พีเดอร์เซน,1,41.2
2026-09-09T15:12:35.232790+07:00,2026-09-09 15:12:35,best-actress,เบคกี้ - รีเบคก้า แพทรีเซีย อาร์มสตรอง,2,39.6
2026-09-09T15:12:35.232790+07:00,2026-09-09 15:12:35,best-actress,เมเบิ้ล - สิริวลี สิริวิบูลย์,3,9.5
2026-09-09T15:12:35.232790+07:00,2026-09-09 15:12:35,best-actress,ฝ้าย - พีรญา มะลิซ้อน,4,5.7
2026-09-09T15:12:35.232790+07:00,2026-09-09 15:12:35,best-actress,จินนี่ - ณัฐณิชา ประทีปนาฏศิริ,5,2.4
2026-09-09T15:12:35.232790+07:00,2026-09-09 15:12:35,best-actress,หลิงหลิง - ศิริลักษณ์ คอง,6,1.6
2026-09-09T15:12:35.232790+07:00,2026-09-09 15:12:35,best-series,เสน่หาวาโย,1,45.8
2026-09-09T15:12:35.232790+07:00,2026-09-09 15:12:35,best-series,ด้วงกับเธอ Duang With You Series,2,38.1
2026-09-09T15:12:35.232790+07:00,2026-09-09 15:12:35,best-series,คุณแฟนบ้านนอก Hometown Romance,3,14.1
2026-09-09T15:12:35.232790+07:00,2026-09-09 15:12:35,best-series,เขมจิราต้องรอด,4,1.3
2026-09-09T15:12:35.232790+07:00,2026-09-09 15:12:35,best-series,สิงสาลาตาย Goddess bless you from death,5,0.7
2026-09-09T16:11:39.395134+07:00,2026-09-09 16:11:39,best-actress,ซอนญ่า ศรัณย์ภัทร์ พีเดอร์เซน,1,41.2
2026-09-09T16:11:39.395134+07:00,2026-09-09 16:11:39,best-actress,เบคกี้ - รีเบคก้า แพทรีเซีย อาร์มสตรอง,2,39.6
2026-09-09T16:11:39.395134+07:00,2026-09-09 16:11:39,best-actress,เมเบิ้ล - สิริวลี สิริวิบูลย์,3,9.5
2026-09-09T16:11:39.395134+07:00,2026-09-09 16:11:39,best-actress,ฝ้าย - พีรญา มะลิซ้อน,4,5.7
2026-09-09T16:11:39.395134+07:00,2026-09-09 16:11:39,best-actress,จินนี่ - ณัฐณิชา ประทีปนาฏศิริ,5,2.4
2026-09-09T16:11:39.395134+07:00,2026-09-09 16:11:39,best-actress,หลิงหลิง - ศิริลักษณ์ คอง,6,1.6
2026-09-09T16:11:39.395134+07:00,2026-09-09 16:11:39,best-series,เสน่หาวาโย,1,45.7
2026-09-09T16:11:39.395134+07:00,2026-09-09 16:11:39,best-series,ด้วงกับเธอ Duang With You Series,2,38.1
2026-09-09T16:11:39.395134+07:00,2026-09-09 16:11:39,best-series,คุณแฟนบ้านนอก Hometown Romance,3,14.2
2026-09-09T16:11:39.395134+07:00,2026-09-09 16:11:39,best-series,เขมจิราต้องรอด,4,1.3
2026-09-09T16:11:39.395134+07:00,2026-09-09 16:11:39,best-series,สิงสาลาตาย Goddess bless you from death,5,0.7
2026-09-09T17:12:15.100461+07:00,2026-09-09 17:12:15,best-actress,ซอนญ่า ศรัณย์ภัทร์ พีเดอร์เซน,1,41.3
2026-09-09T17:12:15.100461+07:00,2026-09-09 17:12:15,best-actress,เบคกี้ - รีเบคก้า แพทรีเซีย อาร์มสตรอง,2,39.6
2026-09-09T17:12:15.100461+07:00,2026-09-09 17:12:15,best-actress,เมเบิ้ล - สิริวลี สิริวิบูลย์,3,9.5
2026-09-09T17:12:15.100461+07:00,2026-09-09 17:12:15,best-actress,ฝ้าย - พีรญา มะลิซ้อน,4,5.6
2026-09-09T17:12:15.100461+07:00,2026-09-09 17:12:15,best-actress,จินนี่ - ณัฐณิชา ประทีปนาฏศิริ,5,2.4
2026-09-09T17:12:15.100461+07:00,2026-09-09 17:12:15,best-actress,หลิงหลิง - ศิริลักษณ์ คอง,6,1.6
2026-09-09T17:12:15.100461+07:00,2026-09-09 17:12:15,best-series,เสน่หาวาโย,1,45.7
2026-09-09T17:12:15.100461+07:00,2026-09-09 17:12:15,best-series,ด้วงกับเธอ Duang With You Series,2,38.1
2026-09-09T17:12:15.100461+07:00,2026-09-09 17:12:15,best-series,คุณแฟนบ้านนอก Hometown Romance,3,14.2
2026-09-09T17:12:15.100461+07:00,2026-09-09 17:12:15,best-series,เขมจิราต้องรอด,4,1.3
2026-09-09T17:12:15.100461+07:00,2026-09-09 17:12:15,best-series,สิงสาลาตาย Goddess bless you from death,5,0.7
2026-09-09T18:11:16.206802+07:00,2026-09-09 18:11:16,best-actress,ซอนญ่า ศรัณย์ภัทร์ พีเดอร์เซน,1,41.3
2026-09-09T18:11:16.206802+07:00,2026-09-09 18:11:16,best-actress,เบคกี้ - รีเบคก้า แพทรีเซีย อาร์มสตรอง,2,39.6
2026-09-09T18:11:16.206802+07:00,2026-09-09 18:11:16,best-actress,เมเบิ้ล - สิริวลี สิริวิบูลย์,3,9.5
2026-09-09T18:11:16.206802+07:00,2026-09-09 18:11:16,best-actress,ฝ้าย - พีรญา มะลิซ้อน,4,5.6
2026-09-09T18:11:16.206802+07:00,2026-09-09 18:11:16,best-actress,จินนี่ - ณัฐณิชา ประทีปนาฏศิริ,5,2.4
2026-09-09T18:11:16.206802+07:00,2026-09-09 18:11:16,best-actress,หลิงหลิง - ศิริลักษณ์ คอง,6,1.6
2026-09-09T18:11:16.206802+07:00,2026-09-09 18:11:16,best-series,เสน่หาวาโย,1,45.7
